_id,description,predicted_category,title
5db0aec0f0a9b700adeeb8e6,"While talking to the TimesofIndia.com exclusively, the Vighnaharta Ganesh actress shared that she is loving beau Paras' sanskari playboy image and is confident of him winning the show.",entertainment,'Nobody wants to see Paras as saint on Bigg Boss'
5db0aec0f0a9b700adeeb8e7,"Among the stocks that touched their 52-week highs were BPCL, Cinevista and Whirlpool of India.",business,6 stocks hit 52-week highs on NSE
5db0aec0f0a9b700adeeb8e8,"Among the stocks that touched their 52-week highs were BPCL, Abbott India, Cinevista and Dixon Technologies.",business,8 stocks hit 52-week highs on NSE
5db0aec0f0a9b700adeeb8e9,"The Nifty Bank index was trading 0.59 per cent down at 28,556.5 around 12:01 pm",business,Nifty Bank trades lower; YES Bank surges 24%
5db0aec0f0a9b700adeeb8ea,"The Nifty FMCG index was trading 0.19 per cent down at 30,741.55 around 11:32 am",business,FMCG index trades with negative bias; Godrej Ind. down 5%
5db0aec0f0a9b700adeeb8eb,"Are streaming services killing multiplexes?While some see OTT as a substitute, it is equally true that OTT is also driving people to the multiplexes.",technology,Are streaming services killing multiplexes?
5db0aec0f0a9b700adeeb8ec,"Premji explained that one area of focus should be on making content available in local languages, apart from movies and audio.",gaming,Need to ensure that Internet is equitable for all: Rishad Premji
5db0aec0f0a9b700adeeb8ed,"Here is our guide on where to feast on Bengali delicacies, watch a selection of entertainment and simply click selfies with the Goddess and her clan in the city",sports,How Chennai celebrates Durga Puja
5db0aec0f0a9b700adeeb8ee,"The thing that works for War is that it’s able to mix some giddy elements of the Hindi spy thrillers of yore like Ankhen, Agent Vinod etc., and gives it a modern spit and polish.",entertainment,"‘War’ review: Though predictable, this is a slick and smart thriller"
5db0aec0f0a9b700adeeb8ef,"Starring Nandha Durairaj and Abhirami Venkatchalam in the lead, the series is tipped to be a crime-thriller",entertainment,SonyLIV launches Tamil web series ‘Iru Dhuruvam’
5db0aec0f0a9b700adeeb8f0,"At its keynote last Thursday, OnePlus declared India as a priority market. Vikas Agarwal, GM of OnePlus India on the hows and whys",business,India has been our biggest success: Vikas Agarwal
5db0aec0f0a9b700adeeb8f1,Shah Rukh Khan to be the host; show focuses on social issues and their solutions,entertainment,TED Talks India Nayi Baat-II to go on air from November 2
5db0aec0f0a9b700adeeb8f2,Entrepreneur Shailendra Singh is on a ride across India to discover ordinary Indians with extraordinary lives,ent_regional,To the heart of India
5db0aec0f0a9b700adeeb8f3,The fifth race of the Champions Boat League débuts at Marine Drive on Saturday amid fanfare and excitement,sports,Riding a wave
5db0aec0f0a9b700adeeb8f4,"With a lack of thrills, action or humour, seven episodes feel like 70 in this choppy, shoddy affair from Netflix India",entertainment,‘Bard of Blood’ review: Emraan Hashmi’s shallow show is abound in stereotypes
5db0aec0f0a9b700adeeb8f5,His new show marks the third anniversary of his photography gallery,technology,Kandukuri Ramesh Babu trains his lens on the innocence of childhood
5db0aec0f0a9b700adeeb8f6,"With The Humming Tree and bFLAT shutting down, artistes object to the restriction on live music places in the city",health,How crackdown of Bengaluru’s live music venues has affected independent artistes
5db0aec0f0a9b700adeeb8f7,"Puneet Issar, who plays Duryodhan in BR Chopra’s renowned television show, says his version of the Mahabharat focuses on Karna and Duryodhan",entertainment,‘It is a different take on Mahabharat’: Puneet Issar on directing the epic on stage
5db0aec0f0a9b700adeeb8f8,"Director Thiru makes his debut in Telugu with the Gopichand-starrer Chanakya, releasing on October 5",ent_regional,Making of a spy thriller
