title,description
'Nobody wants to see Paras as saint on Bigg Boss',"While talking to the TimesofIndia.com exclusively, the Vighnaharta Ganesh actress shared that she is loving beau Paras' sanskari playboy image and is confident of him winning the show."
6 stocks hit 52-week highs on NSE,"Among the stocks that touched their 52-week highs were BPCL, Cinevista and Whirlpool of India."
8 stocks hit 52-week highs on NSE,"Among the stocks that touched their 52-week highs were BPCL, Abbott India, Cinevista and Dixon Technologies."
Nifty Bank trades lower; YES Bank surges 24%,"The Nifty Bank index was trading 0.59 per cent down at 28,556.5 around 12:01 pm"
FMCG index trades with negative bias; Godrej Ind. down 5%,"The Nifty FMCG index was trading 0.19 per cent down at 30,741.55 around 11:32 am"
Are streaming services killing multiplexes?,"Are streaming services killing multiplexes?While some see OTT as a substitute, it is equally true that OTT is also driving people to the multiplexes."
Need to ensure that Internet is equitable for all: Rishad Premji,"Premji explained that one area of focus should be on making content available in local languages, apart from movies and audio."
How Chennai celebrates Durga Puja,"Here is our guide on where to feast on Bengali delicacies, watch a selection of entertainment and simply click selfies with the Goddess and her clan in the city"
"‘War’ review: Though predictable, this is a slick and smart thriller","The thing that works for War is that it’s able to mix some giddy elements of the Hindi spy thrillers of yore like Ankhen, Agent Vinod etc., and gives it a modern spit and polish."
SonyLIV launches Tamil web series ‘Iru Dhuruvam’,"Starring Nandha Durairaj and Abhirami Venkatchalam in the lead, the series is tipped to be a crime-thriller"
India has been our biggest success: Vikas Agarwal,"At its keynote last Thursday, OnePlus declared India as a priority market. Vikas Agarwal, GM of OnePlus India on the hows and whys"
TED Talks India Nayi Baat-II to go on air from November 2,Shah Rukh Khan to be the host; show focuses on social issues and their solutions
To the heart of India,Entrepreneur Shailendra Singh is on a ride across India to discover ordinary Indians with extraordinary lives
Riding a wave,The fifth race of the Champions Boat League débuts at Marine Drive on Saturday amid fanfare and excitement
‘Bard of Blood’ review: Emraan Hashmi’s shallow show is abound in stereotypes,"With a lack of thrills, action or humour, seven episodes feel like 70 in this choppy, shoddy affair from Netflix India"
Kandukuri Ramesh Babu trains his lens on the innocence of childhood,His new show marks the third anniversary of his photography gallery
How crackdown of Bengaluru’s live music venues has affected independent artistes,"With The Humming Tree and bFLAT shutting down, artistes object to the restriction on live music places in the city"
